Stage,Type,Name,Key,HP,ATK,SPD,DEF,Color,PassiveIcon,Passive (EN),Passive (TH),Overdrive Name,Overdrive Icon,Overdrive (EN),Overdrive (TH)
Evolve2,WING,VOLTMOUSE-GHOST,VOLTMOUSE-GHOST,98,32,46,4,#FFD700,?,,"???????????????????? ??????????????,?? ATK 50%,?? DEF 50%, ????? ATK 25% ",THUNDER SHOCK,?,,????? x3.0 + ????????????? ??????? SPDx2.0 ????????????+30% ??? 3 ??????
Evolve2,WING,PENGUIN-GHOST,PENGUIN-GHOST,112,22,38,8,#2F4F4F,??,,??????? 15% ????? HP<50% ???+25% ATK + 25%,ICE SLIDE,??,,????? x3.5 + ??????????????????? + DEF+50% ??? 3 ??????
,,,,,,,,,,,,,,,
Evolve2,SHIELD,COCKROACH-GHOST,COCKROACH-GHOST,135,22,16,24,#8B4513,??,,?????????????????????????? HP 1  (1 ?????/?????????)??? DEF/SPD + 100% ?????????????????,ROACH SURVIVAL,??,,???????? 1 ????????? + ???? HP 30% ?????????????? 25% ?????????? 50% ???????????????????????(????????? 50%???????? 3 ??????) 3 ??????
Evolve2,SHIELD,SLIME-GHOST,SLIME-GHOST,145,18,13,22,#7CFC00,??,,???? HP 5% ?????? ????????????????????????????????????? 25% ????????????????,SLIME ABSORB,??,,??? HP ????? 25% + ???? HP 30% ??????????? 10% ????????? ??? 3 ??????
Evolve2,SHIELD,LEAPFROG-GHOST,LEAPFROG-GHOST,125,24,18,22,#228B22,??,,????? 25% ??????????? 50% ???????????????????,FROG LEAP,??,,????? x2.5 + ??????????? 100% ????????? ????????????? 50% + ATK + 25% ??? 3 ??????
Evolve2,SHIELD,HAMSTER-GHOST,HAMSTER-GHOST,128,20,15,24,#DAA520,??,,??? 3 ?????????? HP 20% ??? DEF+50% ?????????,HAMSTER STASH,??,,???????? 1 ????????? + ???? HP 40% ??????? DEF+30% + ???? 8% ????????? 3 ??????
Evolve2,SHIELD,AXOLOTL-GHOST,AXOLOTL-GHOST,140,21,15,26,#FF69B4,??,,?????????????????? 30% ???? HP 15%,AXOLOTL REGEN,??,,????? x2.0 + ???? HP 50% ?????????????????????????? ??????????? 12% ????????? ??? 3 ??????
Evolve2,SHIELD,CAT-GHOST,CAT-GHOST,118,26,22,18,#9370DB,??,,??? 25% ??????????? ?????????? ATK +50%,CAT NINE LIVES,??,,????? x3.0 + ??????????????????? ??????????+30% + ATK + 50% ??? 3 ??????
,,,,,,,,,,,,,,,
Evolve2,BALANCE,DRAGON-GHOST,DRAGON-GHOST,118,34,22,14,#00FF7F,??,,ATK/DEF/SPD +3% ?????? (?????? 10 ?????) ?????????? 15% ????????????????????????? ???????? 3 ??????,DRAGON BREATH,??,,????? x3.5 + ????????????????????????? ??????? ATK/DEF/SPD+20% ??? 3 ??????
Evolve2,BALANCE,GRIFFON-GHOST,GRIFFON-GHOST,112,36,24,12,#B8860B,??,,"??? 15% , Crit Rate+15% ????????????????????? ?????????????????????????? HP ?????? 3 ??????",GRIFFON DIVE,??,,????? x3.5 ???? DEF + ???????????? ??????? ATK/SPD+30% ??? 3 ??????
Evolve2,BALANCE,OCTOPUS-GHOST,OCTOPUS-GHOST,125,30,20,16,#8A2BE2,??,,????? 30% ???????????????????????(????????? 50%???????? 3 ??????),OCTOPUS INK,??,,????? x2.5 + ?????????? (????????? 50%) 3 ?????? ??????? ATK+25% ??? 3 ??????
Evolve2,BALANCE,PHOENIX-GHOST,PHOENIX-GHOST,108,35,26,10,#FF4500,??,,???????????????????????? HP 50% ???????????????????????????? 10 ?????? (1 ?????/?????????),PHOENIX REBIRTH,??,,????? x3.5 + ???? HP 25% ??????? ATK/SPD+30% ??? 3 ??????
Evolve2,BALANCE,UNICORN-GHOST,UNICORN-GHOST,115,32,25,12,#E6E6FA,??,,???? HP 8% ????????? ????????? 1 ??????????????,UNICORN BLESS,?,,????? x3.0 + ???? 40% + ???????????????? ??????? ATK/SPD/DEF+20% + ???? 10% ????????? 3 ??????
Evolve2,BALANCE,PANDA-GHOST,PANDA-GHOST,120,33,18,15,#FFFFFF,??,,Crit Rate+25% ????????? 15% ??????????,PANDA STRIKE,??,,????? x4 (?????????) + ???? ??????? Crit+30% + ?????????+20% ??? 3 ??????
